2025-03-30T20:33:54,098 [main] INFO  org.apache.curator.framework.imps.CuratorFrameworkImpl - Starting
2025-03-30T20:33:54,116 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:zookeeper.version=3.7.2-c06c7c8a3e95779d4becb1938b378596e3b420d0, built on 2023-10-06 09:51 UTC
2025-03-30T20:33:54,116 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:host.name=huweihundiannao
2025-03-30T20:33:54,116 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.version=17.0.9
2025-03-30T20:33:54,116 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.vendor=Amazon.com Inc.
2025-03-30T20:33:54,116 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.home=/Users/huweihua/Library/Java/JavaVirtualMachines/corretto-17.0.9/Contents/Home
2025-03-30T20:33:54,116 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.class.path=/Users/huweihua/java/java-rpc/java-rpc/rpc-consumer/target/classes:/Users/huweihua/java/java-rpc/java-rpc/rpc-api/target/classes:/Users/huweihua/java/java-rpc/java-rpc/rpc-common/target/classes:/Users/huweihua/java/java-rpc/java-rpc/rpc-core/target/classes:/Users/huweihua/.m2/repository/org/apache/curator/curator-framework/5.6.0/curator-framework-5.6.0.jar:/Users/huweihua/.m2/repository/org/apache/curator/curator-client/5.6.0/curator-client-5.6.0.jar:/Users/huweihua/.m2/repository/org/apache/zookeeper/zookeeper/3.7.2/zookeeper-3.7.2.jar:/Users/huweihua/.m2/repository/org/apache/zookeeper/zookeeper-jute/3.7.2/zookeeper-jute-3.7.2.jar:/Users/huweihua/.m2/repository/org/apache/yetus/audience-annotations/0.12.0/audience-annotations-0.12.0.jar:/Users/huweihua/.m2/repository/io/netty/netty-handler/4.1.94.Final/netty-handler-4.1.94.Final.jar:/Users/huweihua/.m2/repository/io/netty/netty-common/4.1.94.Final/netty-common-4.1.94.Final.jar:/Users/huweihua/.m2/repository/io/netty/netty-resolver/4.1.94.Final/netty-resolver-4.1.94.Final.jar:/Users/huweihua/.m2/repository/io/netty/netty-buffer/4.1.94.Final/netty-buffer-4.1.94.Final.jar:/Users/huweihua/.m2/repository/io/netty/netty-transport/4.1.94.Final/netty-transport-4.1.94.Final.jar:/Users/huweihua/.m2/repository/io/netty/netty-transport-native-unix-common/4.1.94.Final/netty-transport-native-unix-common-4.1.94.Final.jar:/Users/huweihua/.m2/repository/io/netty/netty-codec/4.1.94.Final/netty-codec-4.1.94.Final.jar:/Users/huweihua/.m2/repository/io/netty/netty-transport-native-epoll/4.1.94.Final/netty-transport-native-epoll-4.1.94.Final.jar:/Users/huweihua/.m2/repository/io/netty/netty-transport-classes-epoll/4.1.94.Final/netty-transport-classes-epoll-4.1.94.Final.jar:/Users/huweihua/.m2/repository/org/apache/curator/curator-recipes/5.6.0/curator-recipes-5.6.0.jar:/Users/huweihua/.m2/repository/org/jetbrains/annotations/17.0.0/annotations-17.0.0.jar:/Users/huweihua/.m2/repository/cn/hutool/hutool-all/5.8.10/hutool-all-5.8.10.jar:/Users/huweihua/.m2/repository/org/projectlombok/lombok/1.18.30/lombok-1.18.30.jar:/Users/huweihua/.m2/repository/io/netty/netty-all/4.1.51.Final/netty-all-4.1.51.Final.jar:/Users/huweihua/.m2/repository/com/alibaba/fastjson/1.2.83/fastjson-1.2.83.jar:/Users/huweihua/.m2/repository/com/esotericsoftware/kryo/4.0.2/kryo-4.0.2.jar:/Users/huweihua/.m2/repository/com/esotericsoftware/reflectasm/1.11.3/reflectasm-1.11.3.jar:/Users/huweihua/.m2/repository/org/ow2/asm/asm/5.0.4/asm-5.0.4.jar:/Users/huweihua/.m2/repository/com/esotericsoftware/minlog/1.3.0/minlog-1.3.0.jar:/Users/huweihua/.m2/repository/org/objenesis/objenesis/2.5.1/objenesis-2.5.1.jar:/Users/huweihua/.m2/repository/com/caucho/hessian/4.0.66/hessian-4.0.66.jar:/Users/huweihua/.m2/repository/io/protostuff/protostuff-core/1.7.4/protostuff-core-1.7.4.jar:/Users/huweihua/.m2/repository/io/protostuff/protostuff-api/1.7.4/protostuff-api-1.7.4.jar:/Users/huweihua/.m2/repository/io/protostuff/protostuff-runtime/1.7.4/protostuff-runtime-1.7.4.jar:/Users/huweihua/.m2/repository/io/protostuff/protostuff-collectionschema/1.7.4/protostuff-collectionschema-1.7.4.jar:/Users/huweihua/.m2/repository/com/github/rholder/guava-retrying/2.0.0/guava-retrying-2.0.0.jar:/Users/huweihua/.m2/repository/com/google/guava/guava/33.4.6-jre/guava-33.4.6-jre.jar:/Users/huweihua/.m2/repository/com/google/guava/failureaccess/1.0.3/failureaccess-1.0.3.jar:/Users/huweihua/.m2/repository/com/google/guava/listenablefuture/9999.0-empty-to-avoid-conflict-with-guava/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/Users/huweihua/.m2/repository/org/jspecify/jspecify/1.0.0/jspecify-1.0.0.jar:/Users/huweihua/.m2/repository/com/google/errorprone/error_prone_annotations/2.36.0/error_prone_annotations-2.36.0.jar:/Users/huweihua/.m2/repository/com/google/j2objc/j2objc-annotations/3.0.0/j2objc-annotations-3.0.0.jar:/Users/huweihua/.m2/repository/com/google/code/findbugs/jsr305/2.0.2/jsr305-2.0.2.jar:/Users/huweihua/.m2/repository/org/apache/logging/log4j/log4j-core/2.23.1/log4j-core-2.23.1.jar:/Users/huweihua/.m2/repository/org/apache/logging/log4j/log4j-api/2.23.1/log4j-api-2.23.1.jar:/Users/huweihua/.m2/repository/org/apache/logging/log4j/log4j-slf4j2-impl/2.23.1/log4j-slf4j2-impl-2.23.1.jar:/Users/huweihua/.m2/repository/org/slf4j/slf4j-api/2.0.9/slf4j-api-2.0.9.jar
2025-03-30T20:33:54,117 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.library.path=/Users/huweihua/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.
2025-03-30T20:33:54,117 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.io.tmpdir=/var/folders/ng/51cn4mtn73j24nkc6t94jcm80000gn/T/
2025-03-30T20:33:54,117 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.compiler=<NA>
2025-03-30T20:33:54,117 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.name=Mac OS X
2025-03-30T20:33:54,117 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.arch=aarch64
2025-03-30T20:33:54,117 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.version=13.0
2025-03-30T20:33:54,117 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.name=huweihua
2025-03-30T20:33:54,117 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.home=/Users/huweihua
2025-03-30T20:33:54,117 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.dir=/Users/huweihua/java/java-rpc
2025-03-30T20:33:54,117 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.memory.free=234MB
2025-03-30T20:33:54,117 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.memory.max=4096MB
2025-03-30T20:33:54,118 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.memory.total=260MB
2025-03-30T20:33:54,123 [main] INFO  org.apache.zookeeper.ZooKeeper - Initiating client connection, connectString=127.0.0.1:2182 sessionTimeout=40000 watcher=org.apache.curator.ConnectionState@76a2ddf3
2025-03-30T20:33:54,125 [main] INFO  org.apache.zookeeper.common.X509Util - Setting -D jdk.tls.rejectClientInitiatedRenegotiation=true to disable client-initiated TLS renegotiation
2025-03-30T20:33:54,126 [main] INFO  org.apache.zookeeper.ClientCnxnSocket - jute.maxbuffer value is 1048575 Bytes
2025-03-30T20:33:54,129 [main] INFO  org.apache.zookeeper.ClientCnxn - zookeeper.request.timeout value is 0. feature enabled=false
2025-03-30T20:33:54,133 [main-SendThread(127.0.0.1:2182)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server localhost/127.0.0.1:2182.
2025-03-30T20:33:54,133 [main-SendThread(127.0.0.1:2182)] INFO  org.apache.zookeeper.ClientCnxn - SASL config status: Will not attempt to authenticate using SASL (unknown error)
2025-03-30T20:33:54,134 [main] INFO  org.apache.curator.framework.imps.CuratorFrameworkImpl - Default schema
2025-03-30T20:33:54,137 [main-SendThread(127.0.0.1:2182)] INFO  org.apache.zookeeper.ClientCnxn - Socket connection established, initiating session, client: /127.0.0.1:62783, server: localhost/127.0.0.1:2182
2025-03-30T20:33:54,140 [main] INFO  org.apache.curator.utils.Compatibility - Using org.apache.zookeeper.server.quorum.MultipleAddresses
2025-03-30T20:33:54,142 [main-SendThread(127.0.0.1:2182)] INFO  org.apache.zookeeper.ClientCnxn - Session establishment complete on server localhost/127.0.0.1:2182, session id = 0x100000014430018, negotiated timeout = 40000
2025-03-30T20:33:54,143 [main] INFO  org.apache.curator.framework.imps.CuratorFrameworkImpl - Starting
2025-03-30T20:33:54,143 [main] INFO  org.apache.zookeeper.ZooKeeper - Initiating client connection, connectString=127.0.0.1:2182 sessionTimeout=40000 watcher=org.apache.curator.ConnectionState@2b4c1d96
2025-03-30T20:33:54,144 [main] INFO  org.apache.zookeeper.ClientCnxnSocket - jute.maxbuffer value is 1048575 Bytes
2025-03-30T20:33:54,144 [main] INFO  org.apache.zookeeper.ClientCnxn - zookeeper.request.timeout value is 0. feature enabled=false
2025-03-30T20:33:54,144 [main-EventThread] INFO  org.apache.curator.framework.state.ConnectionStateManager - State change: CONNECTED
2025-03-30T20:33:54,144 [main] INFO  org.apache.curator.framework.imps.CuratorFrameworkImpl - Default schema
2025-03-30T20:33:54,145 [main-SendThread(127.0.0.1:2182)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server localhost/127.0.0.1:2182.
2025-03-30T20:33:54,145 [main-SendThread(127.0.0.1:2182)] INFO  org.apache.zookeeper.ClientCnxn - SASL config status: Will not attempt to authenticate using SASL (unknown error)
2025-03-30T20:33:54,146 [main-SendThread(127.0.0.1:2182)] INFO  org.apache.zookeeper.ClientCnxn - Socket connection established, initiating session, client: /127.0.0.1:62784, server: localhost/127.0.0.1:2182
2025-03-30T20:33:54,149 [main-EventThread] INFO  org.apache.curator.framework.imps.EnsembleTracker - New config event received: {}
2025-03-30T20:33:54,150 [main-SendThread(127.0.0.1:2182)] INFO  org.apache.zookeeper.ClientCnxn - Session establishment complete on server localhost/127.0.0.1:2182, session id = 0x100000014430019, negotiated timeout = 40000
2025-03-30T20:33:54,150 [main-EventThread] INFO  org.apache.curator.framework.imps.EnsembleTracker - New config event received: {}
2025-03-30T20:33:54,150 [main-EventThread] INFO  org.apache.curator.framework.state.ConnectionStateManager - State change: CONNECTED
2025-03-30T20:33:54,151 [main-EventThread] INFO  org.apache.curator.framework.imps.EnsembleTracker - New config event received: {}
2025-03-30T20:33:54,158 [main-EventThread] INFO  org.apache.curator.framework.imps.EnsembleTracker - New config event received: {}
2025-03-30T20:33:54,172 [Curator-SafeNotifyService-0] INFO  com.weihua.client.cache.ServiceCache - 将name为com.weihua.service.UserService和地址为localhost:9999的服务添加到本地缓存中
2025-03-30T20:33:54,172 [Curator-SafeNotifyService-0] INFO  com.weihua.client.cache.ServiceCache - 将name为com.weihua.service.UserService和地址为localhost:9999的服务添加到本地缓存中
2025-03-30T20:33:54,500 [pool-2-thread-13] INFO  com.weihua.client.rpcClient.impl.NettyRpcClient - RpcResponse(code=200, message=null, data=User(id=12, userName=f008d113-44ca-4529-93c9-3ab43b476364, sex=false), datatype=class com.weihua.pojo.User)
